NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.3773795,16.386324000000002,1705.3255734999998,1738.0889788499999
1,16.3773795,16.393181449999997,1706.5572311499998,1739.3277921
2,16.3773795,16.379168399999998,1698.82739425,1731.58394215
3,16.3773795,16.39019995,1710.5557207999998,1743.3233002499999
4,16.3773795,16.380062849999998,1702.02952525,1734.7866694499996
5,16.3773795,16.39019995,1702.86673045,1735.6343098999998
6,16.3773795,16.39795185,1705.7358279,1738.5108610999998
7,16.3773795,16.393181449999997,1706.6505521,1739.4211130499998

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.347564499999997,16.3720128,1665.453974,1698.1735512999999
1,16.347564499999997,16.3702239,1669.67249835,1702.3899885999997
2,16.347564499999997,16.351738599999997,1659.48829065,1692.1875937499997
3,16.347564499999997,16.36277015,1661.8392034,1694.5492399
4,16.347564499999997,16.362472,1662.9256619999999,1695.6356984999998
5,16.347564499999997,16.37171465,1665.1233256499997,1697.8426048
6,16.347564499999997,16.375888749999998,1671.84422295,1704.5676761999998
7,16.347564499999997,16.3767832,1664.1051433999996,1696.8294911

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.34847365,11.280505250000001,43.4082548,68.03693555
1,13.34847365,11.280505250000001,43.40914924999999,68.03782999999999
2,13.34847365,11.280505250000001,43.4076585,68.03663739999999
3,13.34847365,11.280505250000001,43.410639999999994,68.0396189
4,13.34847365,11.343414899999999,43.94462664999999,68.63651519999999
5,13.34847365,11.343414899999999,43.94283774999999,68.6347263
6,13.34847365,10.895295449999999,39.88740144999999,64.13117055
7,13.34847365,11.343414899999999,43.94760815,68.6394967

DELTA Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,-13.318658649999998,-11.26619405,-3.536655300000227,-28.12150799999999
1,-13.318658649999998,-11.257547700000003,-6.524416450000281,-31.100026499999785
2,-13.318658649999998,-11.25307545,-4.068554899999953,-28.640288999999683
3,-13.318658649999998,-11.25307545,5.305877399999709,-19.265558550000094
4,-13.318658649999998,-11.325824050000001,-4.840763399999858,-29.485544250000117
5,-13.318658649999998,-11.3249296,-6.199432949999753,-30.843021200000052
6,-13.318658649999998,-10.873232349999999,-5.995796499999891,-30.187985649999987
7,-13.318658649999998,-11.327016650000001,-1.4021994499997206,-26.047874750000233


